frame_id,timestamp_ms,x1,y1,x2,y2,status,track_state,occlusion_age,detector_source,x_cam,y_cam,z_cam,x_world,y_world,z_world,conf,x_world_raw,y_world_raw,z_world_raw,x_world_filt,y_world_filt,z_world_filt,sigma_x,sigma_y,sigma_z,mu_stationary,gate_d2
81,2703,672.53,478.98,1259.45,861.45,detected,STATIONARY,0,blue_hsv_shape,0.0074,0.1296,1.5148,1.1256,-0.0217,0.3250,0.938,1.1666,-0.0074,0.3250,1.1256,-0.0217,0.3250,0.0391,0.0391,0.0391,0.755,0.0691
82,2736,670.97,479.83,1253.60,858.78,detected,CONFIRMED,0,blue_hsv_shape,0.0028,0.1270,1.5185,1.1360,-0.0170,0.3250,0.939,1.1710,-0.0028,0.3250,1.1360,-0.0170,0.3250,0.0391,0.0391,0.0391,0.679,0.1229
83,2769,670.49,480.41,1250.52,857.81,detected,CONFIRMED,0,blue_hsv_shape,0.0006,0.1261,1.5198,1.1455,-0.0125,0.3250,0.939,1.1726,-0.0006,0.3250,1.1455,-0.0125,0.3250,0.0391,0.0391,0.0391,0.620,0.0607
84,2803,669.36,480.60,1246.15,855.84,detected,CONFIRMED,0,blue_hsv_shape,-0.0028,0.1242,1.5225,1.1544,-0.0079,0.3250,0.940,1.1759,0.0028,0.3250,1.1544,-0.0079,0.3250,0.0391,0.0391,0.0391,0.571,0.0488
85,2836,666.87,481.58,1241.36,867.44,detected,CONFIRMED,0,blue_hsv_shape,-0.0072,0.1352,1.5067,1.1584,-0.0032,0.3250,0.938,1.1567,0.0072,0.3250,1.1584,-0.0032,0.3250,0.0391,0.0391,0.0391,0.564,0.0666
86,2870,663.61,480.85,1230.85,863.26,detected,CONFIRMED,0,blue_hsv_shape,-0.0157,0.1313,1.5124,1.1629,0.0024,0.3250,0.945,1.1636,0.0157,0.3250,1.1629,0.0024,0.3250,0.0391,0.0391,0.0391,0.549,0.0338
87,2903,660.13,480.20,1223.86,856.73,detected,CONFIRMED,0,blue_hsv_shape,-0.0222,0.1251,1.5213,1.1687,0.0085,0.3250,0.940,1.1744,0.0222,0.3250,1.1687,0.0085,0.3250,0.0391,0.0391,0.0391,0.523,0.0433
88,2936,658.47,479.99,1220.33,852.73,detected,CONFIRMED,0,blue_hsv_shape,-0.0255,0.1212,1.5268,1.1747,0.0143,0.3250,0.940,1.1811,0.0255,0.3250,1.1747,0.0143,0.3250,0.0391,0.0391,0.0391,0.499,0.0183
89,2970,655.73,479.93,1216.82,849.51,detected,CONFIRMED,0,blue_hsv_shape,-0.0295,0.1181,1.5312,1.1807,0.0199,0.3250,0.937,1.1865,0.0295,0.3250,1.1807,0.0199,0.3250,0.0391,0.0391,0.0391,0.478,0.0128
90,3003,647.51,480.63,1208.04,856.69,detected,CONFIRMED,0,blue_hsv_shape,-0.0398,0.1251,1.5213,1.1835,0.0267,0.3250,0.936,1.1744,0.0398,0.3250,1.1835,0.0267,0.3250,0.0391,0.0391,0.0391,0.476,0.0578
91,3036,641.16,480.01,1199.36,850.22,detected,CONFIRMED,0,blue_hsv_shape,-0.0493,0.1188,1.5301,1.1876,0.0342,0.3250,0.937,1.1853,0.0493,0.3250,1.1876,0.0342,0.3250,0.0391,0.0391,0.0391,0.458,0.0375
92,3070,636.68,479.76,1190.84,845.19,detected,CONFIRMED,0,blue_hsv_shape,-0.0576,0.1140,1.5371,1.1924,0.0421,0.3250,0.939,1.1937,0.0576,0.3250,1.1924,0.0421,0.3250,0.0391,0.0391,0.0391,0.434,0.0323
93,3103,634.73,479.80,1186.48,842.27,detected,CONFIRMED,0,blue_hsv_shape,-0.0617,0.1112,1.5411,1.1973,0.0496,0.3250,0.939,1.1986,0.0617,0.3250,1.1973,0.0496,0.3250,0.0391,0.0391,0.0391,0.415,0.0103
94,3136,633.02,480.32,1181.65,846.23,detected,CONFIRMED,0,blue_hsv_shape,-0.0656,0.1150,1.5356,1.2001,0.0567,0.3250,0.939,1.1919,0.0656,0.3250,1.2001,0.0567,0.3250,0.0391,0.0391,0.0391,0.412,0.0378
95,3170,629.34,480.43,1175.29,848.05,detected,CONFIRMED,0,blue_hsv_shape,-0.0717,0.1168,1.5330,1.2016,0.0637,0.3250,0.938,1.1888,0.0717,0.3250,1.2016,0.0637,0.3250,0.0391,0.0391,0.0391,0.416,0.0375
96,3203,625.33,480.92,1167.07,856.80,detected,CONFIRMED,0,blue_hsv_shape,-0.0788,0.1253,1.5209,1.1998,0.0710,0.3250,0.940,1.1740,0.0788,0.3250,1.1998,0.0710,0.3250,0.0391,0.0391,0.0391,0.432,0.1646
